"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"72","Pristis perotteti","Pristis","perotteti",27548,"Müller & Henle, 1841","Large-tooth sawfish","Prper_u0.jpg",NA,NA,NA,16,NA,6924,NA,"elongated","O",NA,NA,0,-1,-1,-1,"benthopelagic","amphidromous",51243,1,122,55273,NA,10,55273,NA,NA,NA,NA,77.93,650,"TL",NA,NA,6902,NA,NA,NA,NA,NA,591000,NA,6902,NA,NA,NA,NA,NA,"minor commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits shallow water in the vicinity of the shore and estuarine, particularly lagoons.  Generally thought to rarely descend below 10m but have been found at 122m in Lake Nicaragua (Ref. 55273). Tends to run farther upstream in large rivers.  Found in temperatures higher than 20-30°C (Ref. 6902).   Ovoviviparous (Ref. 50449).  Minor commercial, for the curio trade (Ref. 37548).",NA,0.5312,0,1,"1999-02-02T00:00:00.000Z",949,"2005-09-06T00:00:00.000Z",NA,NA,NA,51176
"73","Hippocampus zebra","Hippocampus","zebra",30915,"Whitley, 1964","Zebra seahorse","Hizeb_m0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,20,69,52034,NA,20,30915,NA,NA,NA,NA,10.53,8,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found inshore on reef areas (Ref. 7300).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205). Also found in sand and mud bottoms, possibly associated with gorgonians (Ref 90102).",NA,0.5,0,2,"1999-04-26T00:00:00.000Z",2291,"2013-02-28T00:00:00.000Z",1,"1999-09-10T00:00:00.000Z",NA,52379
"74","Latimeria menadoensis","Latimeria","menadoensis",30889,"Pouyaud, Wirjoatmodjo, Rachmatika, Tjakrawidjaja, Hadiaty & Hadie, 1999","Sulawesi coelacanth","Lamen_u0.gif",NA,NA,NA,30,NA,1832,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,NA,NA,150,NA,33470,NA,NA,NA,NA,77.7,140,"TL",NA,NA,33470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,-1,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Presumably on rocky slopes in deep water of 150-200 m.  Fricke et al. (Ref. 33470) observed two specimens of 120 and 140 cm length in a deep carbonate cave at a depth of 155 m (water temp.  17.8-20.1°C).",NA,1.2539,0,1,"1999-08-16T00:00:00.000Z",949,"2011-06-15T00:00:00.000Z",NA,NA,NA,53783
"75","Hippocampus algiricus","Hippocampus","algiricus",30915,"Kaup, 1856","West African seahorse","Hialg_u1.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,19.2,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Length type refers to height (= TL - head length).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-08-17T00:00:00.000Z",2,"2004-11-23T00:00:00.000Z",NA,NA,NA,53788
"76","Hippocampus barbouri","Hippocampus","barbouri",30915,"Jordan & Richardson, 1908","Barbour's seahorse","Hibar_u7.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,6,12,90102,NA,NA,NA,NA,NA,NA,NA,10.53,15,"OT",NA,NA,48635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30915,"subsistence fisheries","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",30915,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Unlike most seahorses, this species is often found clinging to hard coral and doesn't seem to be worried about stingers (Ref. 48635).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Popular spiny seahorse in aquarium trade; often sold bleached for traditional Chinese medicine. OT=height length.",NA,0.5,0,1,"1999-08-17T00:00:00.000Z",2,"2013-02-28T00:00:00.000Z",NA,NA,NA,53789
"77","Hippocampus bargibanti","Hippocampus","bargibanti",30915,"Whitley, 1970","Pygmy seahorse","Hibar_u4.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,16,40,30915,NA,NA,NA,NA,NA,NA,NA,10,2.4,"OT",NA,NA,31803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Only known to occur on gorgonian corals of the genus <i>Muricella</i>, with up to 28 pairs on a single gorgonian.  The tubercles and truncated snout of this species match the color and shape of the polyps of the host gorgonian, while its body matches the gorgonian stem.  So extreme is this camouflage that the original specimens were only noticed after their host gorgonian had been collected and observed in an aquarium.  Post-pelagic young settle on various hosts, but to breed, they appear to prefer the red polyp <i>Muricella</i> spp. That usually grow in depths over 20 m (Ref. 48635).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-08-17T00:00:00.000Z",2,"2005-01-17T00:00:00.000Z",1,"2000-01-18T00:00:00.000Z",NA,53790
"78","Hippocampus borboniensis","Hippocampus","borboniensis",30915,"Duméril, 1870","Réunion seahorse","Hibor_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,60,52034,NA,NA,NA,NA,NA,NA,NA,10.53,14,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of potential interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Length type is height (=TL - head length).  Found in seagrass beds.  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-08-17T00:00:00.000Z",2,"2005-02-15T00:00:00.000Z",NA,NA,NA,53791
"79","Hippocampus comes","Hippocampus","comes",30915,"Cantor, 1849","Tiger tail seahorse","Hicom_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,15,30,90102,NA,NA,NA,NA,NA,NA,NA,10,18.7,"OT",NA,NA,52034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30915,"commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Length type refers to Height (= from top of coronet to the tip of straightened tail).  This species is mainly found in pairs (Ref. 48635) on coral reefs, sponge gardens, kelp, and floating <i>Sargassum</i>.  Nocturnal, site faithful.  Feeds on zooplankton (Ref. 85309).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Life span probably more than 2-3 years.  Used for traditional Chinese medicine (Ref. 85309).",NA,0.5,0,1,"1999-08-17T00:00:00.000Z",10,"2013-02-28T00:00:00.000Z",NA,NA,NA,53792
"80","Hippocampus fisheri","Hippocampus","fisheri",30915,"Jordan & Evermann, 1903","Fisher's seahorse","Hifis_m0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,8,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Length type refers to Height (= from tip of coronet to the tip of straightened tail).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-08-20T00:00:00.000Z",10,"2005-02-07T00:00:00.000Z",NA,NA,NA,53803
"81","Hippocampus jayakari","Hippocampus","jayakari",30915,"Boulenger, 1900","Jayakar's seahorse","Hijay_m0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,20,52034,2,3,30915,NA,NA,NA,NA,10.53,14,"OT",NA,NA,45091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in seagrass beds, e.g. <i>Halophila</i> spp.  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-08-24T00:00:00.000Z",2,"2005-02-16T00:00:00.000Z",NA,NA,NA,53814
"82","Hippocampus kelloggi","Hippocampus","kelloggi",30915,"Jordan & Snyder, 1901","Great seahorse","Hikel_m0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"bathydemersal","non-migratory",NA,NA,120,52034,NA,NA,NA,NA,NA,NA,NA,10.53,28,"OT",NA,NA,45091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Deep water species, associated with corals (Ref. 52034).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-08-24T00:00:00.000Z",2,"2005-02-16T00:00:00.000Z",NA,NA,NA,53815
"83","Hippocampus lichtensteinii","Hippocampus","lichtensteinii",30915,"Kaup, 1856","Lichtenstein's Seahorse","Hilic_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Length type refers to height.  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-09-09T00:00:00.000Z",2,"2004-11-23T00:00:00.000Z",NA,NA,NA,53909
"84","Hippocampus minotaur","Hippocampus","minotaur",30915,"Gomon, 1997","Bullneck seahorse","Himin_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,64,100,30915,NA,NA,NA,NA,NA,NA,NA,10,5,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on the continental shelf (Ref. 75154).  Trawled from fine sand or hard bottom, possibly in association with gorgonian coral (Ref. 205).  Benthic species (Ref. 75154).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-09-10T00:00:00.000Z",1472,"2008-11-05T00:00:00.000Z",NA,NA,NA,53910
"85","Hippocampus mohnikei","Hippocampus","mohnikei",30915,"Bleeker, 1853","Japanese seahorse","Himoh_m1.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,1,NA,30915,NA,NA,NA,NA,NA,NA,NA,14.58,8,"OT",NA,NA,30915,5,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"In <i>Zostera</i> seagrass beds; also in estuaries.  Length type refers to height (= TL - head length).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1999-09-10T00:00:00.000Z",14,"2007-07-25T00:00:00.000Z",NA,NA,NA,53911
"86","Hippocampus subelongatus","Hippocampus","subelongatus",30915,"Castelnau, 1873","West Australian seahorse","Hisub_u0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,-1,-1,"demersal","non-migratory",NA,1,25,30915,NA,NA,NA,NA,NA,NA,NA,10.53,20,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on edge of rocky areas, muddy bottom and areas of high sediment load; jetty piles and moorings; often associated with sponges or sea squirts or attached to man-made objects; moves to deeper waters in winter.  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  This species manifested evidence of genetically monogamous character in seahorses (Ref. 59213).  Site fidelity is observed during breeding season (Ref. 59213).  Length type refers to height (= TL - head length) (Ref. 30915).",NA,0.5,0,1,"1999-09-10T00:00:00.000Z",2,"2009-05-25T00:00:00.000Z",NA,NA,NA,53914
"87","Scaphirhynchus suttkusi","Scaphirhynchus","suttkusi",33977,"Williams & Clemmer, 1991","Alabama sturgeon","Scsut_u0.jpg",NA,NA,NA,32,"Scaphirhynchinae",2550,NA,"elongated","R",NA,NA,0,-1,-1,-1,"demersal","anadromous",33977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.625,0,14,"2000-05-03T00:00:00.000Z",2,"2007-10-02T00:00:00.000Z",NA,NA,NA,56264
"88","Hippocampus jugumus","Hippocampus","jugumus",42735,"Kuiter, 2001","Collared seahorse",NA,NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"pelagic-neritic","non-migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.4,"OT",NA,NA,42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Probably pelagic (Ref. 42735).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-15T00:00:00.000Z",2,"2008-09-22T00:00:00.000Z",NA,NA,NA,59700
"89","Hippocampus biocellatus","Hippocampus","biocellatus",42735,"Kuiter, 2001","False-eyed seahorse",NA,NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,0,20,42735,NA,NA,NA,NA,NA,NA,NA,10.53,10.8,"OT",NA,NA,42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit shallow algae or weedy reef areas from the intertidal to about 20 m depth (Ref. 42735).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-15T00:00:00.000Z",2,"2011-07-08T00:00:00.000Z",NA,NA,NA,59701
"90","Hippocampus alatus","Hippocampus","alatus",42735,"Kuiter, 2001","Winged seahorse","Hiala_u0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,10,80,42735,NA,NA,NA,NA,NA,NA,NA,10.53,11.7,"OT",13.6,"OT",42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit soft bottom (Ref. 42735, 75154) of the continental shelf (Ref. 75154).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-15T00:00:00.000Z",2,"2011-07-08T00:00:00.000Z",NA,NA,NA,59702
"91","Hippocampus semispinosus","Hippocampus","semispinosus",42735,"Kuiter, 2001","Half-spined seahorse",NA,NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,40,60,58018,NA,NA,NA,NA,NA,NA,NA,10.53,18,"OT",NA,NA,48635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on shallow coastal habitats, from near mangroves to deeper muddy channels, or deep offshore where known from trawls (Ref. 48635).  Often with algae growth on the spiny ridges (Ref. 48635).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-15T00:00:00.000Z",113,"2008-07-14T00:00:00.000Z",NA,NA,NA,59703
"92","Hippocampus montebelloensis","Hippocampus","montebelloensis",42735,"Kuiter, 2001","Monte Bello seahorse",NA,NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"pelagic-neritic","non-migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.53,NA,NA,7.8,"OT",42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on the continental shelf (Ref. 75154).  Holotype caught at the surface, clinging to <i>Sargassum</i> fragment (Ref. 42735).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-15T00:00:00.000Z",1472,"2008-11-05T00:00:00.000Z",NA,NA,NA,59704
"93","Hippocampus procerus","Hippocampus","procerus",42735,"Kuiter, 2001","High-crown seahorse","Hipro_u1.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,0,20,42735,NA,NA,NA,NA,NA,NA,NA,10.53,NA,NA,11,"OT",42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs on mixed algae reef (Ref. 42735) of the continental shelf (Ref. 75154).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-15T00:00:00.000Z",1472,"2008-11-05T00:00:00.000Z",NA,NA,NA,59705
"94","Hippocampus multispinus","Hippocampus","multispinus",42735,"Kuiter, 2001","Northern spiny seahorse",NA,NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,12,60,42735,20,60,42735,NA,NA,NA,NA,10.53,14,"OT",NA,NA,42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on the continental shelf (Ref. 75154).  Probably inhabiting more weedy areas (Ref. 42735).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-15T00:00:00.000Z",1472,"2008-11-05T00:00:00.000Z",NA,NA,NA,59706
"95","Hippocampus hendriki","Hippocampus","hendriki",42735,"Kuiter, 2001","Eastern spiny seahorse",NA,NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,16,25,42735,NA,NA,NA,NA,NA,NA,NA,10.53,NA,NA,10.4,"OT",42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs over soft bottom of the continental shelf (Ref. 75154).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Minimum depth from Ref. 58018.",NA,0.5,0,113,"2002-07-19T00:00:00.000Z",1472,"2008-11-05T00:00:00.000Z",NA,NA,NA,59707
"96","Hippocampus grandiceps","Hippocampus","grandiceps",42735,"Kuiter, 2001","Big-head seahorse",NA,NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","amphidromous",NA,NA,10,58018,NA,NA,NA,NA,NA,NA,NA,10.53,NA,NA,10.5,"OT",42735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Collected from shallow water (Ref. 42735).  Maximum length is based on a straight-line length measurement from upper surface (ignoring spines) of first trunk ring, to tip of tail (Ref. 42735).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,113,"2002-07-19T00:00:00.000Z",113,"2008-07-14T00:00:00.000Z",NA,NA,NA,59708
"97","Hippocampus denise","Hippocampus","denise",47053,"Lourie & Randall, 2003","Denise's pygmy seahorse","Hiden_u2.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","O",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,13,90,47053,NA,NA,NA,NA,NA,NA,NA,10,2.15,"SL",2.4,"SL",47053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Lives in association with gorgonian seafans (<i>Annella reticulata</i>, <i>Muricella</i> sp., and <i>Echinogorgia</i> sp.).  Master of camouflage, with their coloration and body ornamentation in the form of tubercles, can match the stems and polyps of their gorgonian hosts (Ref. 47053).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,14,"2003-05-22T00:00:00.000Z",2,"2005-02-16T00:00:00.000Z",NA,NA,NA,60329
